AuthorName,AuthorId,AuthorLink
Gary Chapman,622,https://www.goodreads.com/author/show/622.Gary_Chapman?utm_medium=api&utm_source=author_link
George Orwell,3706,https://www.goodreads.com/author/show/3706.George_Orwell?utm_medium=api&utm_source=author_link
George R.R. Martin,346732,https://www.goodreads.com/author/show/346732.George_R_R_Martin?utm_medium=api&utm_source=author_link
George R.R. Martin,346732,https://www.goodreads.com/author/show/346732.George_R_R_Martin?utm_medium=api&utm_source=author_link
Giles Andreae,6785,https://www.goodreads.com/author/show/6785.Giles_Andreae?utm_medium=api&utm_source=author_link
Gillian Flynn,2383,https://www.goodreads.com/author/show/2383.Gillian_Flynn?utm_medium=api&utm_source=author_link
Glenn Beck,188932,https://www.goodreads.com/author/show/188932.Glenn_Beck?utm_medium=api&utm_source=author_link
Golden Books,23793,https://www.goodreads.com/author/show/23793.Golden_Books?utm_medium=api&utm_source=author_link
Harper Lee,1825,https://www.goodreads.com/author/show/1825.Harper_Lee?utm_medium=api&utm_source=author_link
J.K. Rowling,1077326,https://www.goodreads.com/author/show/1077326.J_K_Rowling?utm_medium=api&utm_source=author_link
J.K. Rowling,1077326,https://www.goodreads.com/author/show/1077326.J_K_Rowling?utm_medium=api&utm_source=author_link
James Patterson,3780,https://www.goodreads.com/author/show/3780.James_Patterson?utm_medium=api&utm_source=author_link
John Green,1406384,https://www.goodreads.com/author/show/1406384.John_Green?utm_medium=api&utm_source=author_link
John Grisham,721,https://www.goodreads.com/author/show/721.John_Grisham?utm_medium=api&utm_source=author_link
Julia Child,3465,https://www.goodreads.com/author/show/3465.Julia_Child?utm_medium=api&utm_source=author_link
Ken Follett,3447,https://www.goodreads.com/author/show/3447.Ken_Follett?utm_medium=api&utm_source=author_link
Khaled Hosseini,569,https://www.goodreads.com/author/show/569.Khaled_Hosseini?utm_medium=api&utm_source=author_link
Kristin Hannah,54493,https://www.goodreads.com/author/show/54493.Kristin_Hannah?utm_medium=api&utm_source=author_link
Laura Hillenbrand,30913,https://www.goodreads.com/author/show/30913.Laura_Hillenbrand?utm_medium=api&utm_source=author_link
Madeleine L'Engle,106,https://www.goodreads.com/author/show/106.Madeleine_L_Engle?utm_medium=api&utm_source=author_link
Malcolm Gladwell,1439,https://www.goodreads.com/author/show/1439.Malcolm_Gladwell?utm_medium=api&utm_source=author_link
Margaret Atwood,3472,https://www.goodreads.com/author/show/3472.Margaret_Atwood?utm_medium=api&utm_source=author_link
Margaret Wise Brown,18479,https://www.goodreads.com/author/show/18479.Margaret_Wise_Brown?utm_medium=api&utm_source=author_link
Mark R. Levin,311467,https://www.goodreads.com/author/show/311467.Mark_R_Levin?utm_medium=api&utm_source=author_link
Mark Twain,1244,https://www.goodreads.com/author/show/1244.Mark_Twain?utm_medium=api&utm_source=author_link
Marty Noble,4102094,https://www.goodreads.com/author/show/4102094.Marty_Noble?utm_medium=api&utm_source=author_link
Maurice Sendak,4489,https://www.goodreads.com/author/show/4489.Maurice_Sendak?utm_medium=api&utm_source=author_link
Michael Pollan,2121,https://www.goodreads.com/author/show/2121.Michael_Pollan?utm_medium=api&utm_source=author_link
Mitch Albom,2331,https://www.goodreads.com/author/show/2331.Mitch_Albom?utm_medium=api&utm_source=author_link
Paulo Coelho,566,https://www.goodreads.com/author/show/566.Paulo_Coelho?utm_medium=api&utm_source=author_link
Ray Bradbury,1630,https://www.goodreads.com/author/show/1630.Ray_Bradbury?utm_medium=api&utm_source=author_link
Robert Munsch,6039100,https://www.goodreads.com/author/show/6039100.Robert_Munsch?utm_medium=api&utm_source=author_link
Rod Campbell,216562,https://www.goodreads.com/author/show/216562.Rod_Campbell?utm_medium=api&utm_source=author_link
Ron Chernow,9950,https://www.goodreads.com/author/show/9950.Ron_Chernow?utm_medium=api&utm_source=author_link
Sandra Boynton,3161,https://www.goodreads.com/author/show/3161.Sandra_Boynton?utm_medium=api&utm_source=author_link
Sara Gruen,24556,https://www.goodreads.com/author/show/24556.Sara_Gruen?utm_medium=api&utm_source=author_link
Scholastic Inc.,5609118,https://www.goodreads.com/author/show/5609118.Scholastic_Inc_?utm_medium=api&utm_source=author_link
Stephen King,3389,https://www.goodreads.com/author/show/3389.Stephen_King?utm_medium=api&utm_source=author_link
Stephen R. Covey,1538,https://www.goodreads.com/author/show/1538.Stephen_R_Covey?utm_medium=api&utm_source=author_link
Stephen R. Covey,1538,https://www.goodreads.com/author/show/1538.Stephen_R_Covey?utm_medium=api&utm_source=author_link
Steven D. Levitt,798,https://www.goodreads.com/author/show/798.Steven_D_Levitt?utm_medium=api&utm_source=author_link
