Authors,Count
Alistar Hewison,1
Alister E. McGrath,1
Alix Kates Shulman,1
Aliza Green,1
Aliza Risdahl,1
Allan  Moore,1
Allan A. Macfarlan,1
Allan Ahlberg,1
Allan Ashworth,1
Allan B. Ho,1
Allan C. Richard,1
Allan D. Wallis,1
Allan Danzig,1
Allan E. Barsky,1
Allan E. Sosin,1
Allan G. Bogue,1
Allan Gibbard,1
Allan Gordon Cameron,1
Allan Ishac,1
Allan Johnson,1
Allan Kent Powell,1
Allan M. Armitage,1
Allan Mallinson,1
Allan Pease,1
Allan Pedrazas,1
Allan Staniforth,1
Allan W. Eckert,1
Allan Wilford Howerton,1
Allegra Goodman,1
Allegra Rossi,1
Allegra de Laurentiis,1
Allejandro Illanes,1
Allen Barra,1
Allen Buchanan,1
Allen C. Benson,1
Allen Carey-Webb,1
Allen Chun,1
Allen F. Davis,1
Allen French,1
Allen Grossman,1
Allen J. Singer,1
Allen M. Hornblum,1
Allen M. Steele,1
Allen Mandelbaum,1
Allen Morgan,1
Allen Morris,1
Allen Noren,1
Allen P. Ross,1
Allen R. Walker,1
Allen Riedel,1
Allen Say,1
Allen Shawn,1
Allen Shawn Reed,1
Allen Tate,1
Allen W. Jackson,1
Allen W. Wood,1
Allen Wyler,1
Alliance for Safe Driving,1
Allida M. Black,1
Allison DuBois,1
Allison Lane,1
Allison Lassieur,1
Allison Pearson,1
Allison Post,1
Allison Stark Draper,1
Allyson J. Weseley,1
Alma Flor Ada,1
Alma Fullerton,1
Alma Houston,1
Alma Lynne,1
Alma Power-Waters,1
Alma R. Hutchens,1
Aloys Grillmeier,1
Aloysius Bertrand,1
Alphons Maria Stickler,1
Alphonso Lingis,1
Alta R. Turner,1
Altaf Gauhar,1
Alton Delmore,1
Alton Gansky,1
Alton Gilbert,1
Aluísio Azevedo,1
Alvah W. Sulloway,1
Alvin A. Arens,1
Alvin J. Silk,1
Alvin Kernan,1
Alvin R. Mahrer,1
Alvin Robert Cunningham,1
Alwyn Berland,1
Alyse Neundorf,1
Alyson Noel,1
Alyssa Satin Capucilli,1
Amadeo M. Rea,1
Amado Nervo,1
Amadou Diallo,1
Amalia Astorga,1
Amanda Barnett,1
Amanda Christie,1
Amanda Coffey,1
Amanda Cross,1
Amanda Elyot,1
Amanda Eyre Ward,1
Amanda Faulkner,1
Amanda Graham,1
Amanda Grange,1
Amanda Hemingway,1
Amanda Hesser,1
Amanda Mackenzie Stuart,1
Amanda Murphy,1
Amanda O'Neill,1
Amanda Quick,1
Amanda Stevens,1
Amanda Sullivan,1
Amanda Waas,1
Amartya Sen,1
Amber Dana,1
Amber K,1
Ambrose Bierce,1
Amelia Amoriell,1
Amelia Earhart,1
Amelia Grey,1
Amelia Phillips Aremia,1
American Academy of Orthopaedic Surgeons,1
American Animal Hospital Association,1
American Anthropological Association,1
American Association of School Librarians,1
American College of Physicians,1
American Express Company,1
American Heart Association,1
American Heritage,1
American Homebrewers Association,1
American Library Association,1
American Management Association,1
American Medical Association,1
American Osteopathic Association,1
American Profile,1
American Social History Project,1
American Society of Mechanical Engineers,1
Amick,1
Amin Maalouf,1
Amine Pierre Gemayel,1
Aminu Tijjani,1
Amir Barnea,1
Amiri Baraka,1
Amit Banerjee,1
Amit Ray,1
Amita Gupta,1
Amitai Etzioni,1
